RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
906,"1,510","1,910",9,10,2,1,1,21,644,61,2,4,10:45 AM,12:15 PM,3,8,,,,,8,10,,,,,,1,1,1,3,3,4,2,5,5,4,4,5,4,4,5,3,3,0,5,0,4,4,80,204,,5,5,5,5,5,5,,,,3,99,,,2,2,2,2,1,6,,,1,2,5,0,1,24,,,3,LONDON,,ENGLAND,15,7,2,2,2,0,1,1,0.55367500000000003
907,"1,511","1,911",9,10,2,1,1,21,644,61,2,4,10:50 AM,12:15 PM,6,8,,,,,2,10,,,,,,0,1,0,0,3,4,2,5,4,4,3,4,4,4,4,6,3,3,4,4,6,4,178,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,2,5,5,5,2,,,,1,EL CERRITO,"94,530",US,5,5,1,2,2,2,1,1,0.55367500000000003
909,"1,513","1,910",9,10,2,1,1,21,644,61,2,4,10:45 AM,12:15 PM,3,8,,,,,2,10,,,,,,1,2,2,1,2,3,2,6,6,6,2,5,6,5,5,0,4,6,6,6,4,4,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,1,4,2,4,1,3,,,1,FREMONT,"94,536",US,3,4,1,1,3,2,2,1,0.55367500000000003
910,"1,514","1,910",9,10,2,1,1,21,644,61,2,4,10:35 AM,12:15 PM,2,8,,,,,5,10,,,,,,2,2,1,2,1,1,2,4,5,6,5,5,5,6,6,6,6,6,5,6,6,5,900,,,5,5,6,5,5,5,,,,5,4,,,2,2,2,2,2,1,,,5,5,5,5,2,,,,3,BROOKLYN,"11,216",US,12,3,2,3,2,2,2,1,0.55367500000000003
911,"1,515","1,910",9,10,2,1,1,21,644,61,2,4,12:00 PM,12:15 PM,3,8,,,,,1,10,,,,,4,1,2,2,2,3,4,2,4,3,3,4,4,4,3,3,3,4,4,6,4,6,4,,,,5,6,6,3,4,4,,,,4,2,,,2,2,2,2,1,,,,2,5,5,5,2,,,,1,ALAMO,"94,507",US,5,5,2,4,2,1,1,1,0.55367500000000003
912,"1,516","1,910",9,10,2,1,1,21,644,61,2,4,9:15 AM,12:15 PM,2,8,,,,,6,10,,,,,,0,1,1,0,2,4,2,6,4,4,4,4,4,4,4,6,6,6,6,6,6,4,910,,,5,6,6,5,5,5,,,,4,5,,,2,2,2,2,2,8,,,7,5,5,5,2,,,,3,ALCOVE,"12,007",US,12,6,1,2,3,2,2,1,0.55367500000000003
913,"1,517","1,910",9,10,2,1,1,21,644,61,2,4,10:15 AM,12:15 PM,2,8,,,,,6,10,,,,,,1,2,2,1,1,1,2,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,,,,5,4,6,6,5,5,,,,4,4,1,,2,2,2,2,1,,,,5,4,4,5,2,,,,3,HUNTINGTON,"11,743",US,12,3,2,3,2,2,2,1,0.55367500000000003
914,"1,518","1,910",9,10,2,1,1,21,644,61,2,4,10:15 AM,12:15 PM,2,8,,,,,6,10,,,,,,1,0,0,0,1,1,2,5,4,5,5,5,5,5,5,5,6,6,6,6,6,5,,,,5,6,6,4,5,5,,,,5,1,,,1,0,1,0,1,,,,3,0,0,5,2,,,,3,BROOKLYN,"11,235",US,12,6,1,2,2,2,2,1,0.55367500000000003
915,"2,602","2,602",6,95,3,3,1,27,936,106,6,2,11:00 AM,5:35 PM,2,8,,,,,2,10,,,,,,1,2,2,2,3,3,1,6,3,2,2,3,3,6,6,6,6,6,6,6,6,4,908,,,4,6,6,4,3,4,,,,5,5,,,2,2,2,2,2,,,,12,0,0,0,0,,,,1,SARATOGA,"95,070",US,4,6,2,2,2,1,2,1,0.59568900000000002
916,"2,603","2,602",6,95,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,2,3,8,,,,6,10,,,,,,1,0,0,0,1,4,1,4,6,6,6,4,4,6,6,0,0,0,0,0,0,0,908,,,5,6,6,6,6,6,,,,5,21,,,2,2,2,2,2,6,,,7,5,3,3,2,,,,1,SARATOGA,"95,070",US,4,7,1,0,2,1,2,1,0.59568900000000002
917,"2,604","2,602",6,95,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,2,8,,,,,6,10,,,,,,1,1,2,2,1,4,1,4,6,3,4,4,6,6,6,6,6,6,6,6,6,4,42,,,5,0,0,4,4,4,,,,4,1,,,2,2,2,2,2,,,,9,5,5,5,2,,,,1,PETALUMA,"94,952",US,7,6,2,2,2,2,2,1,0.59568900000000002
918,"2,605","2,602",6,95,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,1,2,1,4,4,1,6,6,2,3,4,6,6,6,6,6,6,6,6,6,4,234,,,4,6,6,6,5,4,,,,5,2,,,1,2,2,2,1,7,,,5,5,3,4,2,,,,1,SAN FRANCISCO,"94,115",US,1,5,2,2,2,2,1,1,0.59568900000000002
919,"2,606","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,1,8,,,,,2,10,,,,,,1,1,2,1,3,2,1,3,2,4,4,4,4,6,6,4,6,6,6,6,6,4,15,,,4,6,6,4,4,4,,,,5,5,,,2,2,2,2,1,,,,1,5,5,5,2,,,,3,ESPOO,,FINLAND,15,3,2,3,1,2,2,1,0.59568900000000002
920,"2,607","2,602",6,95,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,12,8,,,,,7,10,,,,,,1,1,1,2,2,2,1,4,4,5,3,3,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,2,,,2,2,2,2,2,,,,12,5,5,5,2,,,,3,RONNEBY,,SWEDEN,15,6,2,0,2,2,2,1,0.59568900000000002
921,"2,608","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,2,10,,,,,,2,2,2,2,1,3,1,4,2,4,5,5,5,6,6,5,5,6,6,3,6,5,910,,,3,6,6,6,4,4,,,,5,,,,3,3,3,3,1,,,,9,5,5,5,2,,,,1,SANTA ROSA,"95,409",US,7,5,1,0,2,2,1,1,0.59568900000000002
922,"2,609","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,2,10,,,,,,2,2,2,1,3,4,1,4,4,3,5,5,5,6,6,5,5,6,6,2,6,4,,,,3,6,6,6,3,4,,,,5,,,,3,3,3,3,1,,,,9,5,4,5,2,,,,1,SANTA ROSA,"95,409",US,7,7,2,2,2,2,2,1,0.59568900000000002
923,"2,610","2,602",6,95,3,3,1,27,936,106,6,2,12:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,0,0,0,1,3,1,4,6,3,1,4,2,6,6,6,6,6,6,6,6,3,176,,,4,6,6,6,4,4,,,,5,9,,,2,2,2,2,1,,,,15,2,2,2,1,28,,,2,MODESTO,"95,355",US,10,7,1,0,2,2,2,1,0.59568900000000002
924,"2,611","2,602",6,95,3,3,1,27,936,106,6,2,12:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,0,0,0,4,4,2,4,0,3,1,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,4,0,,,,5,,,,0,0,0,0,0,,,,15,2,2,0,1,28,,,2,MODESTO,"95,355",US,10,7,1,2,2,2,2,1,0.59568900000000002
925,"2,612","2,602",6,95,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,2,8,,,,,12,10,,,,,,1,1,1,2,2,4,2,6,3,3,4,5,5,6,6,6,6,6,6,6,6,3,,,,4,6,6,4,3,4,,,,3,20,,,3,3,3,3,3,,,,5,3,5,3,2,,,,3,RONNE,,DENMARK,15,3,1,2,2,2,2,1,0.59568900000000002
926,"2,613","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,2,10,,,,,,2,2,2,1,3,4,2,4,4,4,5,5,5,6,6,5,5,6,6,6,6,5,,,,4,6,6,4,4,4,,,,5,6,,,2,2,2,2,1,,,,9,5,5,5,2,,,,1,SANTA ROSA,"95,409",US,7,5,2,0,2,0,1,1,0.59568900000000002
927,"2,614","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,5,10,,,,,,1,2,2,2,3,4,2,4,4,4,5,4,4,4,4,6,4,4,4,4,4,4,,,,5,4,4,4,5,4,,,,4,5,,,2,2,2,1,2,,,,32,5,5,5,2,,,,2,REDWOOD VALLEY,"95,470",US,10,7,1,2,2,0,1,1,0.59568900000000002
928,"2,615","2,602",6,95,3,3,1,27,936,106,6,2,3:30 PM,5:35 PM,2,8,,,,,5,10,,,,,,1,0,1,0,3,4,2,5,3,3,3,3,4,3,3,4,6,6,4,6,6,4,,,,4,4,6,3,3,3,,,,4,,,,1,2,2,2,1,,,,5,4,4,4,0,,,,1,SAN FRANCISCO,"94,117",US,1,5,2,1,2,1,1,1,0.59568900000000002
929,"2,616","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,5,10,,,,,,1,1,1,1,4,4,2,4,3,3,4,4,4,3,3,5,4,6,4,6,6,4,2,20,,4,4,6,4,4,4,,,,4,,,,1,2,1,2,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,133",US,1,5,1,3,2,2,1,1,0.59568900000000002
930,"2,617","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,8,,,,,5,10,,,,,,1,1,1,1,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,5,4,4,4,3,3,,,,5,,,,2,2,2,2,1,,,,1,4,5,5,2,,,,1,OAKLAND,"94,618",US,3,4,1,3,2,2,1,1,0.59568900000000002
931,"2,618","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,3,8,,,,1,10,,,,,2,1,2,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,0,0,0,0,0,4,,,,4,,,,2,2,1,0,1,3,,,7,4,4,4,2,,,,3,,,DENMARK,15,4,2,0,3,2,2,1,0.59568900000000002
932,"2,619","2,602",6,95,3,3,1,27,936,106,6,2,2:30 PM,5:35 PM,2,8,,,,,5,10,,,,,,1,0,1,1,2,4,2,6,2,2,4,5,4,6,4,4,4,6,4,6,4,4,2,20,,4,4,4,4,3,4,,,,5,,,,1,2,2,2,1,7,,,5,5,4,4,2,,,,3,OSLO,,NORWAY,15,4,1,3,2,2,2,1,0.59568900000000002
933,"2,620","2,602",6,95,3,3,1,27,936,106,6,2,1:15 PM,5:35 PM,3,8,,,,,4,10,,,,,,1,2,1,1,3,2,2,4,2,3,5,5,4,4,4,4,4,4,6,6,6,4,,,,5,6,6,5,5,5,,,,5,,,,1,2,2,1,1,,,,5,5,4,5,2,,,,1,,,US,90,2,1,0,2,2,2,1,0.59568900000000002
934,"2,621","2,602",6,95,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,2,8,,,,,7,10,,,,,,1,2,2,3,1,1,2,6,6,6,6,5,5,5,5,6,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,3,,,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,,,DENMARK,15,3,1,0,2,2,2,1,0.59568900000000002
935,"2,622","2,602",6,95,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,2,8,,,,,1,10,,,,,4,2,2,2,2,1,2,2,3,3,3,3,2,3,6,6,3,4,6,6,6,6,3,,,,3,6,6,3,4,3,,,,4,5,,,1,2,3,2,1,10,,,7,3,4,2,2,,,,1,SAN JOSE,,US,4,4,1,3,2,1,1,1,0.59568900000000002
936,"2,623","2,602",6,95,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,2,8,,,,,1,10,,,,,4,2,2,2,1,3,4,2,4,3,6,5,4,5,6,6,4,5,6,6,4,6,4,200,234,,4,6,6,3,4,4,,,,4,5,,,1,2,1,2,1,4,,,7,3,5,3,2,,,,1,SAN JOSE,"95,119",US,4,4,2,3,2,1,1,1,0.59568900000000002
937,"2,624","2,602",6,95,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,2,8,,,,,11,10,,,,,,1,1,2,0,1,4,2,4,4,4,4,4,4,6,6,1,3,3,6,6,6,4,204,,,4,6,6,4,3,4,,,,4,,,,2,2,2,2,2,,,,9,3,4,4,2,,,,1,PETALUMA,"94,952",US,7,6,1,1,2,2,2,1,0.59568900000000002
938,"2,625","2,602",6,95,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,1,8,,,,,4,6,10,,,,,1,2,2,1,3,1,2,4,4,3,5,5,5,6,6,5,5,5,5,3,4,4,,,,5,5,4,5,3,4,,,,5,2,1,4,1,2,2,2,1,1,3,,5,5,5,4,2,,,,1,SAN FRANCISCO,"94,110",US,1,3,1,3,2,2,2,1,0.59568900000000002
939,"2,626","2,602",6,95,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,1,8,,,,,3,10,,,,,,0,1,1,1,3,4,2,3,3,4,4,5,4,0,0,5,0,0,0,0,0,4,,,,0,0,0,0,0,0,,,,5,,,,1,2,2,2,1,,,,11,5,5,4,2,,,,3,COPENHAGEN,,DENMARK,15,6,1,4,1,1,1,1,0.59568900000000002
940,"2,627","2,602",6,95,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,2,2,2,3,4,2,5,3,5,5,5,5,6,6,5,5,5,5,6,6,5,,,,5,5,6,5,4,5,,,,5,2,,,2,2,1,2,1,,,,5,4,5,5,2,,,,1,SAN FRANCISCO,"94,118",US,1,2,2,1,2,2,1,1,0.59568900000000002
941,"2,628","2,602",6,95,3,3,1,27,936,106,6,2,3:15 PM,5:35 PM,2,8,,,,,6,10,,,,,,1,2,2,2,1,4,2,4,4,4,3,4,4,6,6,6,4,6,6,6,6,4,,,,5,6,6,5,4,5,,,,4,26,,,3,3,3,3,3,,,,7,2,4,5,2,,,,1,SAN JOSE,"95,118",US,4,4,1,2,2,1,2,1,0.59568900000000002
942,"2,629","2,602",6,95,3,3,1,27,936,106,6,2,1:45 PM,5:35 PM,2,8,,,,,7,10,,,,,,1,2,1,2,1,1,2,6,3,3,5,5,5,5,5,6,6,6,6,6,6,4,20,,,5,6,6,4,2,3,,,,5,2,,,1,2,2,2,2,,,,5,3,5,5,2,,,,3,STOCKHOLM,,SWEDEN,15,5,3,2,2,2,2,1,0.59568900000000002
943,"2,630","2,602",6,95,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,1,2,8,,,,2,10,,,,,,1,2,1,2,3,4,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,3,,,,4,6,6,4,4,4,,,,5,1,,,2,2,2,2,2,,,,3,5,5,5,2,,,,1,FOREST KNOLLS,"94,933",US,6,6,1,3,2,2,2,1,0.59568900000000002
944,"2,631","2,602",6,95,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,2,8,,,,,12,10,,,,,,2,2,1,2,2,1,2,6,3,3,4,4,4,6,6,6,4,6,6,5,5,4,201,162,,5,6,5,5,4,5,,,,4,20,,,2,2,2,2,2,,,,5,4,5,2,2,,,,3,RONNE,,DENMARK,15,3,2,2,2,2,2,1,0.59568900000000002
945,"1,597","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,2,8,,,,,5,10,,,,,,1,2,2,2,1,2,1,6,6,6,4,4,5,6,6,6,6,6,6,6,6,4,283,,,4,6,6,6,5,5,,,,4,2,,,2,2,2,2,2,,,,5,4,3,5,1,9,,,3,PARIS,,FRANCE,15,3,2,0,2,2,2,1,0.55367500000000003
946,"1,598","1,921",9,11,3,2,1,21,648,61,2,4,7:30 PM,10:10 PM,1,8,,,,,5,10,,,,,,2,2,2,1,3,1,2,6,4,3,5,5,4,6,6,3,6,6,4,6,6,4,204,,,4,5,6,5,4,4,,,,4,3,,,2,2,2,1,1,,,,5,5,5,4,2,,,,3,ROCHESTER,"14,624",US,12,3,1,2,2,2,2,1,0.55367500000000003
947,"1,599","1,921",9,11,3,2,1,21,648,61,2,4,7:30 PM,10:10 PM,1,8,,,,,5,10,,,,,,1,1,2,2,1,4,1,4,3,2,3,4,3,3,6,6,6,6,4,6,6,0,161,,,3,3,6,4,3,3,,,,4,5,,,1,2,2,2,2,,,,5,5,4,3,2,,,,1,SAN FRANCISCO,"94,117",US,1,6,1,3,2,2,2,1,0.55367500000000003
948,"1,600","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,2,8,,,,,1,10,,,,,0,1,1,2,2,5,2,1,3,3,3,3,3,3,3,3,1,3,3,6,6,6,3,,,,3,3,3,3,3,3,,,,4,35,,,2,2,2,2,1,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,"94,109",US,1,3,2,0,2,2,1,1,0.55367500000000003
949,"1,601","1,921",9,11,3,2,1,21,648,61,2,4,8:00 PM,10:10 PM,2,8,,,,,6,10,,,,,,1,1,2,2,2,4,1,6,4,4,4,5,5,6,4,6,6,6,6,6,6,5,,,,4,6,6,5,5,5,,,,5,5,,,2,2,2,2,2,,,,3,4,5,5,2,,,,1,SAN RAFAEL,"94,901",US,6,3,2,1,3,2,1,1,0.55367500000000003
950,"1,602","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,1,8,,,,,2,10,,,,,,1,1,1,2,3,1,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,MERRICK,"11,566",US,12,4,0,4,2,2,2,1,0.55367500000000003
951,"1,603","1,921",9,11,3,2,1,21,648,61,2,4,6:00 PM,10:10 PM,3,8,,,,,8,10,,,,,,2,2,1,1,6,2,2,0,2,3,4,0,3,0,0,4,0,0,0,0,0,4,,,,5,5,5,5,4,5,,,,5,,,,2,2,2,2,1,4,,,10,3,5,5,2,,,,0,,,,99,0,0,0,0,0,0,1,0.55367500000000003
952,"1,604","1,921",9,11,3,2,1,21,648,61,2,4,10:00 PM,10:10 PM,1,8,,,,,4,10,,,,,,1,1,1,2,3,4,2,3,4,4,5,4,3,3,3,4,6,6,4,6,6,5,,,,5,5,3,4,4,4,,,,5,,,,1,2,2,2,1,,,,5,5,5,3,2,,,,3,BROOKLYN,"11,205",US,12,4,1,3,2,2,2,1,0.55367500000000003
953,"1,605","1,921",9,11,3,2,1,21,648,61,2,4,6:15 PM,10:10 PM,3,8,,,,,11,10,,,,,,1,0,0,1,2,2,2,3,3,3,2,3,2,2,2,3,6,6,6,6,6,3,216,,,3,6,6,6,3,3,,,,3,,,,2,2,2,2,1,,,,8,3,1,4,1,14,,,1,VALLEJO,"94,589",US,8,6,2,2,2,2,1,1,0.55367500000000003
954,"1,606","1,921",9,11,3,2,1,21,648,61,2,4,N,10:10 PM,3,8,,,,,4,10,,,,,,1,0,0,0,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,1,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,,US,1,3,0,4,1,2,1,1,0.55367500000000003
955,"1,607","1,921",9,11,3,2,1,21,648,61,2,4,9:00 PM,10:10 PM,3,8,,,,,5,10,,,,,,2,2,2,2,3,3,2,5,5,4,4,4,4,6,6,5,6,6,5,6,6,4,,,,4,4,6,4,4,4,,,,5,,,,3,2,2,2,1,,,,5,4,4,4,2,,,,1,SAN FRANCISCO,"94,103",US,1,3,2,4,2,2,2,1,0.55367500000000003
956,"1,608","1,921",9,11,3,2,1,21,648,61,2,4,7:30 PM,10:10 PM,2,3,8,,,,2,10,,,,,,1,2,1,2,2,3,2,3,3,4,4,4,4,4,4,4,5,0,0,0,0,4,283,,,5,0,0,3,5,4,,,,5,,,,2,2,2,2,2,,,,1,4,4,4,2,,,,3,NEW YORK CITY,"10,024",US,12,7,2,2,2,2,1,1,0.55367500000000003
957,"1,609","1,921",9,11,3,2,1,21,648,61,2,4,8:30 PM,10:10 PM,3,8,,,,,2,10,,,,,,1,2,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,,,,5,5,6,5,5,5,,,,4,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,3,ST ALBANS,"5,478",US,12,6,2,3,2,1,0,1,0.55367500000000003
958,"1,610","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,2,8,,,,,6,10,,,,,,2,1,2,1,3,1,2,6,3,4,5,5,5,5,5,4,4,3,4,6,6,4,,,,5,5,6,5,5,5,,,,5,,,,3,3,3,3,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,122",US,1,2,1,1,2,1,2,1,0.55367500000000003
959,"1,611","1,921",9,11,3,2,1,21,648,61,2,4,6:30 PM,10:10 PM,2,8,,,,,3,10,,,,,,1,1,1,1,3,2,2,4,2,2,3,3,4,3,3,5,4,4,4,3,3,3,907,200,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,1,4,10,,11,3,3,2,1,29,,,1,SAN FRANCISCO,"94,123",US,1,3,3,3,2,2,2,1,0.55367500000000003
960,"1,612","1,921",9,11,3,2,1,21,648,61,2,4,7:30 PM,10:10 PM,2,8,,,,,5,10,,,,,,2,2,1,1,3,1,2,4,5,6,3,4,4,3,4,3,6,6,4,6,6,4,,,,5,5,6,4,5,5,,,,5,4,,,2,2,2,2,1,1,,,5,5,3,4,1,26,,,1,SAN FRANCISCO,"94,133",US,1,3,1,1,2,2,2,1,0.55367500000000003
961,"1,613","1,921",9,11,3,2,1,21,648,61,2,4,8:40 PM,10:10 PM,6,8,,,,,11,10,,,,,,2,1,2,2,3,4,2,4,4,4,4,3,4,6,6,6,4,6,4,6,6,4,207,3,,5,5,6,6,4,4,,,,4,,,,1,2,2,2,1,,,,3,5,5,5,2,,,,1,MUIR BEACH,"94,965",US,6,3,2,2,2,1,2,1,0.55367500000000003
962,"1,614","1,921",9,11,3,2,1,21,648,61,2,4,2:08 PM,10:10 PM,2,8,,,,,3,10,,,,,,2,1,1,1,3,2,2,4,2,1,3,3,2,2,2,4,6,6,3,6,6,3,,,,5,6,6,3,4,4,,,,4,,,,1,1,2,2,1,,,,11,3,2,2,2,,,,3,LAS VEGAS,"89,101",US,10,4,1,4,2,2,2,1,0.55367500000000003
963,"1,615","1,921",9,11,3,2,1,21,648,61,2,4,6:00 PM,10:10 PM,1,8,,,,,4,10,,,,,,0,0,0,0,1,1,2,5,4,4,4,3,3,3,4,5,5,5,4,4,3,2,907,,,3,3,0,3,3,2,,,,3,,,,2,2,2,2,2,,,,12,0,3,3,2,,,,3,NEW YORK CITY,"10,013",US,12,3,2,3,1,2,2,1,0.55367500000000003
964,"1,616","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,1,8,,,,,4,10,,,,,,2,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,1,2,,,12,5,5,5,2,,,,3,NEW YORK CITY,"10,065",US,12,3,1,4,1,1,2,1,0.55367500000000003
965,"1,617","1,921",9,11,3,2,1,21,648,61,2,4,7:00 PM,10:10 PM,6,8,,,,,5,10,,,,,,1,2,1,1,3,2,2,6,3,4,4,5,5,6,6,4,5,0,0,0,0,5,,,,5,5,6,5,4,5,,,,4,,,,0,0,0,0,0,,,,5,5,4,5,0,,,,0,,,,99,0,0,0,0,0,0,1,0.55367500000000003
966,"1,618","1,921",9,11,3,2,1,21,648,61,2,4,8:00 PM,10:10 PM,2,8,,,,,8,10,,,,,,0,0,1,1,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,,,4,4,5,3,3,4,,,,5,,,,2,2,2,2,1,,,,12,3,4,3,2,,,,3,ATLANTA,"30,324",US,12,3,1,0,2,2,2,1,0.55367500000000003
967,"1,619","1,921",9,11,3,2,1,21,648,61,2,4,8:00 PM,10:10 PM,2,8,,,,,5,10,,,,,,1,1,0,1,1,1,2,6,4,4,4,4,4,6,6,5,3,6,6,6,6,4,,,,5,6,6,4,6,4,,,,4,,,,1,2,1,2,1,4,,,5,4,4,4,2,,,,3,ANKANA,,TURKEY,17,2,1,4,1,2,2,1,0.55367500000000003
968,"1,620","1,921",9,11,3,2,1,21,648,61,2,4,8:35 PM,10:10 PM,2,8,,,,,1,10,,,,,2,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,0,0,4,4,,,,4,,,,2,2,2,2,1,,,,12,0,3,4,2,,,,1,SAN FRANCISCO,"94,158",US,1,3,2,3,2,1,1,1,0.55367500000000003
969,"1,621","2,103",11,68,2,1,1,33,492,92,3,2,10:20 AM,12:25 PM,3,8,,,,,2,10,,,,,,2,2,2,2,1,2,1,5,6,5,5,6,5,6,6,6,5,5,5,6,6,4,,,,5,6,6,6,5,5,,,,4,16,,,2,2,2,2,2,,,,4,5,5,5,2,,,,1,NAPA,"94,558",US,9,2,2,1,2,2,1,1,1.8708309999999999
970,"1,622","2,103",11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,3,8,,,,,1,10,,,,,4,1,2,2,2,1,4,1,3,6,6,4,4,4,6,6,6,6,4,6,6,6,4,,,,4,6,6,6,4,4,,,,4,1,,,2,2,2,2,2,,,,34,4,4,4,2,,,,2,ATWATER,"95,301",US,10,7,1,0,2,2,2,1,1.8708309999999999
971,"1,623","2,103",11,68,2,1,1,33,492,92,3,2,10:00 AM,12:25 PM,2,8,,,,,8,10,,,,,,1,2,2,1,1,1,1,6,6,6,4,5,5,6,6,4,5,6,5,6,4,4,,,,5,5,6,6,5,5,,,,5,5,,,2,2,2,2,1,,,,13,4,4,5,2,,,,3,ST LOUIS,"63,034",US,11,6,2,3,2,2,2,1,1.8708309999999999
972,"1,624","2,103",11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,2,8,,,,,5,10,,,,,,2,2,1,2,2,4,1,3,4,6,4,4,4,6,6,6,6,6,4,6,6,4,,,,4,4,6,6,4,4,,,,5,5,,,2,2,2,2,2,,,,2,4,4,3,2,,,,1,MARTINEZ,"94,553",US,5,6,1,3,2,2,1,1,1.8708309999999999
