RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
"2,786","3,535","2,402",14,2,1,3,1,30,392,55,3,3,7:30 AM,9:50 AM,3,8,,,,,5,10,,,,,,2,2,1,1,1,4,2,0,0,0,4,5,0,0,0,2,0,0,0,0,0,4,,,,5,6,6,0,5,5,,,,4,,,,2,2,2,2,1,12,,,1,5,4,3,2,,,,1,ALBANY,"94,706",US,3,6,2,2,2,2,2,1,0.55367500000000003
"2,787","3,536","2,402",14,2,1,3,1,30,392,55,3,3,8:40 AM,9:50 AM,1,8,,,,,12,10,,,,,,2,2,2,1,0,3,2,4,6,6,2,4,2,6,2,5,4,6,6,6,6,4,268,,,5,6,6,6,5,4,,,,5,,,,2,2,2,2,1,7,,,5,4,3,4,2,,,,3,SAUAGE,"55,378",US,11,5,1,0,2,2,2,1,0.55367500000000003
"2,788","3,537","2,402",14,2,1,3,1,30,392,55,3,3,6:30 AM,9:50 AM,1,2,8,,,,2,10,,,,,,1,2,1,2,2,3,2,4,0,3,3,3,3,3,3,3,3,3,4,3,3,5,261,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,4,4,5,2,,,,3,WEAVERVILLE,"28,787",US,12,4,2,4,3,3,3,1,0.55367500000000003
"2,789","3,538","2,402",14,2,1,3,1,30,392,55,3,3,7:00 AM,9:50 AM,2,8,,,,,7,10,,,,,,1,2,1,2,1,1,2,3,2,2,3,3,3,6,6,6,4,4,4,4,4,4,,,,5,5,5,6,3,5,,,,3,9,,,1,2,2,2,2,,,,5,5,4,4,2,,,,3,ROCHESTER,"55,901",US,11,3,2,2,2,2,2,1,0.55367500000000003
"2,790","3,539","2,402",14,2,1,3,1,30,392,55,3,3,8:30 AM,9:50 AM,3,8,,,,,8,10,,,,,,1,1,2,2,1,4,2,5,5,5,4,5,5,5,5,5,3,3,4,6,3,4,,,,4,3,3,3,1,3,,,,3,,,,2,2,2,2,2,,,,1,5,4,4,2,,,,3,SLEEPY EYE,"56,085",US,11,5,2,3,2,2,1,1,0.55367500000000003
"2,791","3,540","2,402",14,2,1,3,1,30,392,55,3,3,8:30 AM,9:50 AM,2,8,,,,,4,10,,,,,,1,1,2,2,1,3,2,4,3,3,3,4,3,3,3,6,6,6,4,6,6,3,,,,5,5,6,4,4,4,,,,4,,,,3,3,3,3,3,,,,5,3,3,0,2,,,,3,MINNEAPOLIS,"55,418",US,11,3,1,2,2,2,2,1,0.55367500000000003
"2,792","3,541","2,402",14,2,1,3,1,30,392,55,3,3,8:00 AM,9:50 AM,2,8,,,,,12,10,,,,,,1,1,1,2,1,4,2,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,2,,,,5,3,4,4,2,,,,3,EAGAN,"55,123",US,11,3,1,3,2,2,2,1,0.55367500000000003
"2,793","3,542","2,402",14,2,1,3,1,30,392,55,3,3,8:00 AM,9:50 AM,3,8,,,,,2,10,,,,,,1,1,1,1,2,4,2,6,3,3,4,4,3,6,6,3,4,6,6,6,6,0,900,,,5,5,5,5,5,5,,,,3,5,,,3,3,3,3,3,,,,9,3,3,4,2,,,,1,SANTA ROSA,,US,7,7,2,0,2,0,0,1,0.55367500000000003
"2,794","3,543","2,402",14,2,1,3,1,30,392,55,3,3,8:00 AM,9:50 AM,3,8,,,,,5,10,,,,,,2,2,1,2,2,4,2,4,2,3,4,4,5,5,5,6,6,6,6,6,6,4,,,,4,6,6,3,4,4,,,,5,,,,2,2,2,2,2,,,,2,5,4,4,2,,,,3,ROCHESTER,"55,904",US,11,7,2,2,2,2,2,1,0.55367500000000003
"2,795","3,544","2,402",14,2,1,3,1,30,392,55,3,3,8:30 AM,9:50 AM,11,8,,,,,2,10,,,,,,1,2,2,2,3,3,2,4,3,2,4,4,4,4,4,6,4,4,4,4,4,3,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,2,,,,1,3,3,4,2,,,,3,GRAND RAPIDS,"55,744",US,11,3,1,1,2,2,1,1,0.55367500000000003
"2,796","3,545","2,402",14,2,1,3,1,30,392,55,3,3,7:45 AM,9:50 AM,3,8,,,,,2,10,,,,,,1,1,2,2,2,2,2,4,6,4,2,4,4,4,4,6,6,6,6,6,6,4,163,,,5,6,6,6,5,5,,,,5,,,,2,2,2,2,2,,,,5,3,4,3,1,9,,,3,COLD SPRING,"56,320",US,11,6,2,3,2,2,2,1,0.55367500000000003
